DE;MUN;DESC TIPOCLASSE;SERIE;GRAU;COD_ESCOLA;ESCOLA;CLASSES;ALUNOS
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;16950;RISOLETA LOPES ARANHA PROFESSORA;2;11
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;17188;ARY MENEGATTO PROF;3;17
ADAMANTINA;OSVALDO CRUZ;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;31616;OSVALDO MARTINS;2;7
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;17152;MAURA ARRUDA GUIDOLIN PROFA;2;7
ADAMANTINA;INUBIA PAULISTA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;31598;IRALDO ANTONIO MARTINS DE TOLEDO;1;4
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DA;7;17140;MARIO PATARRA FRATTINI PROF;2;6
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;17206;HEITOR PENTEADO DR;1;6
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;49897;BENTO PENTEADO DOS SANTOS PROF;2;8
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;578563;PROFESSORA MARIA LUCIA PADOVANI DE OLIVEIRA;2;6
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;903760;ANTONIETA GHIZINI LENHARE PROFA;4;19
AMERICANA;SANTA BARBARA D'OESTE;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;17000;INOCENCIO MAIA PROF;1;4
AMERICANA;SANTA BARBARA D'OESTE;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DF;8;45512;NEUZA MARIA NAZATTO DE CARVALHO PROFA;2;4
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;17140;MARIO PATARRA FRATTINI PROF;2;7
ANDRADINA;CASTILHO;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;29543;ARMEL MIRANDA;4;19
